/*  T[GeV]       sqrt(gStar)     heff  */  
  { 0.1258925E5,10.283486E0,105.749901E0},
  { 0.1188504E5,10.283488E0,105.749901E0},
  { 0.1122019E5,10.283484E0,105.749802E0},
  { 0.1059256E5,10.283484E0,105.749802E0},
  { 0.1000000E5,10.283486E0,105.749802E0},
  { 0.9440606E4,10.283487E0,105.749802E0},
  { 0.8912530E4,10.283480E0,105.749702E0},
  { 0.8413950E4,10.283487E0,105.749702E0},
  { 0.7943284E4,10.283490E0,105.749702E0},
  { 0.7498942E4,10.283487E0,105.749603E0},
  { 0.7079457E4,10.283490E0,105.749603E0},
  { 0.6683455E4,10.283483E0,105.749496E0},
  { 0.6309586E4,10.283490E0,105.749496E0},
  { 0.5956636E4,10.283485E0,105.749397E0},
  { 0.5623426E4,10.283485E0,105.749298E0},
  { 0.5308843E4,10.283485E0,105.749199E0},
  { 0.5011873E4,10.283497E0,105.749199E0},
  { 0.4731512E4,10.283500E0,105.749100E0},
  { 0.4466837E4,10.283503E0,105.749001E0},
  { 0.4216965E4,10.283496E0,105.748802E0},
  { 0.3981071E4,10.283501E0,105.748703E0},
  { 0.3758375E4,10.283501E0,105.748497E0},
  { 0.3548141E4,10.283503E0,105.748299E0},
  { 0.3349663E4,10.283502E0,105.748100E0},
  { 0.3162285E4,10.283512E0,105.747902E0},
  { 0.2985382E4,10.283519E0,105.747704E0},
  { 0.2818396E4,10.283517E0,105.747398E0},
  { 0.2660725E4,10.283524E0,105.747101E0},
  { 0.2511887E4,10.283527E0,105.746696E0},
  { 0.2371374E4,10.283530E0,105.746300E0},
  { 0.2238721E4,10.283529E0,105.745796E0},
  { 0.2113489E4,10.283541E0,105.745300E0},
  { 0.1995262E4,10.283551E0,105.744797E0},
  { 0.1883650E4,10.283556E0,105.744102E0},
  { 0.1778279E4,10.283563E0,105.743401E0},
  { 0.1678808E4,10.283572E0,105.742599E0},
  { 0.1584893E4,10.283583E0,105.741699E0},
  { 0.1496235E4,10.283595E0,105.740700E0},
  { 0.1412538E4,10.283612E0,105.739601E0},
  { 0.1333521E4,10.283621E0,105.738297E0},
  { 0.1258929E4,10.283642E0,105.736900E0},
  { 0.1188502E4,10.283661E0,105.735298E0},
  { 0.1122018E4,10.283676E0,105.733498E0},
  { 0.1059254E4,10.283702E0,105.731499E0},
  { 0.1000000E4,10.283710E0,105.729202E0},
  { 0.9440607E3,10.283741E0,105.726700E0},
  { 0.8912530E3,10.283781E0,105.723801E0},
  { 0.8413969E3,10.283800E0,105.720596E0},
  { 0.7943284E3,10.283820E0,105.717003E0},
  { 0.7498942E3,10.283851E0,105.712997E0},
  { 0.7079456E3,10.283890E0,105.708504E0},
  { 0.6683440E3,10.283950E0,105.703499E0},
  { 0.6309573E3,10.284021E0,105.697800E0},
  { 0.5956623E3,10.284051E0,105.691399E0},
