#title Effective number of degrees of freedom
#yName hEff{c} gEff{c} 
#xName T
#xMin 1.000000E-02
#xMax 1.000000E+02
#xDim  150 150
#xScale 1
#---   starting of data ---
#  hEff          gEff        
 1.076189E+01   1.076514E+01  
 1.076929E+01   1.077459E+01  
 1.078119E+01   1.078975E+01  
 1.079633E+01   1.080905E+01  
 1.082009E+01   1.083910E+01  
 1.084799E+01   1.087433E+01  
 1.089026E+01   1.092701E+01  
 1.093706E+01   1.098526E+01  
 1.100487E+01   1.106812E+01  
 1.107941E+01   1.115890E+01  
 1.117621E+01   1.127467E+01  
 1.128385E+01   1.140255E+01  
 1.141291E+01   1.155334E+01  
 1.155584E+01   1.171868E+01  
 1.171762E+01   1.190310E+01  
 1.189399E+01   1.210153E+01  
 1.208599E+01   1.231493E+01  
 1.229007E+01   1.253814E+01  
 1.250700E+01   1.277321E+01  
 1.273014E+01   1.301052E+01  
 1.296482E+01   1.325851E+01  
 1.319702E+01   1.349759E+01  
 1.344137E+01   1.374819E+01  
 1.367973E+01   1.398273E+01  
 1.391620E+01   1.421831E+01  
 1.414926E+01   1.444837E+01  
 1.437778E+01   1.467219E+01  
 1.460105E+01   1.488964E+01  
 1.481890E+01   1.510109E+01  
 1.503168E+01   1.530761E+01  
 1.524045E+01   1.551108E+01  
 1.544702E+01   1.571422E+01  
 1.565406E+01   1.592081E+01  
 1.586536E+01   1.613593E+01  
 1.608600E+01   1.636622E+01  
 1.632259E+01   1.662018E+01  
 1.658372E+01   1.690878E+01  
 1.688039E+01   1.718504E+01  
 1.745812E+01   1.780202E+01  
 1.821981E+01   1.856268E+01  
 1.921430E+01   1.955492E+01  
 2.050191E+01   2.083898E+01  
 2.215706E+01   2.248898E+01  
 2.427135E+01   2.459628E+01  
 2.695730E+01   2.700704E+01  
 2.993032E+01   2.885382E+01  
 3.284503E+01   3.073452E+01  
 3.576046E+01   3.351795E+01  
 3.867657E+01   3.693544E+01  
 4.159339E+01   4.076571E+01  
 4.451090E+01   4.482909E+01  
 4.732752E+01   4.787315E+01  
 4.991957E+01   5.047456E+01  
 5.226439E+01   5.282286E+01  
 5.439904E+01   5.496071E+01  
 5.633694E+01   5.690149E+01  
 5.809154E+01   5.865881E+01  
 5.967631E+01   6.024614E+01  
 6.110473E+01   6.167707E+01  
 6.239026E+01   6.296493E+01  
 6.354642E+01   6.412341E+01  
 6.458675E+01   6.516602E+01  
 6.552476E+01   6.610635E+01  
 6.637404E+01   6.695134E+01  
 6.717168E+01   6.774364E+01  
 6.796044E+01   6.865532E+01  
 6.874939E+01   6.959634E+01  
 6.953852E+01   7.053627E+01  
 7.032501E+01   7.147168E+01  
 7.111170E+01   7.240612E+01  
 7.189856E+01   7.323853E+01  
 7.266006E+01   7.359344E+01  
 7.334304E+01   7.404734E+01  
 7.402618E+01   7.492632E+01  
 7.470947E+01   7.580559E+01  
 7.539294E+01   7.668506E+01  
 7.607656E+01   7.756465E+01  
 7.676036E+01   7.844435E+01  
 7.744430E+01   7.887314E+01  
 7.803600E+01   7.879764E+01  
 7.858523E+01   7.925946E+01  
 7.911772E+01   7.980705E+01  
 7.963050E+01   8.031853E+01  
 8.014685E+01   8.082115E+01  
 8.064190E+01   8.129131E+01  
 8.111368E+01   8.173525E+01  
 8.156068E+01   8.215216E+01  
 8.198183E+01   8.254156E+01  
 8.237651E+01   8.290319E+01  
 8.274449E+01   8.330329E+01  
 8.307541E+01   8.364987E+01  
 8.339310E+01   8.387404E+01  
 8.367936E+01   8.410313E+01  
 8.395184E+01   8.434097E+01  
 8.418647E+01   8.454343E+01  
 8.441702E+01   8.474136E+01  
 8.460608E+01   8.490160E+01  
 8.479884E+01   8.506459E+01  
 8.494887E+01   8.518975E+01  
 8.510279E+01   8.531799E+01  
 8.522592E+01   8.541938E+01  
 8.534753E+01   8.551932E+01  
 8.544801E+01   8.560124E+01  
 8.554351E+01   8.567907E+01  
 8.562557E+01   8.574586E+01  
 8.570116E+01   8.580770E+01  
 8.576951E+01   8.586401E+01  
 8.583231E+01   8.591725E+01  
 8.589297E+01   8.596975E+01  
 8.595253E+01   8.602518E+01  
 8.601417E+01   8.608399E+01  
 8.608424E+01   8.615381E+01  
 8.615943E+01   8.622912E+01  
 8.625312E+01   8.635942E+01  
 8.636781E+01   8.649762E+01  
 8.650927E+01   8.666958E+01  
 8.668333E+01   8.688135E+01  
 8.689564E+01   8.713838E+01  
 8.715134E+01   8.744554E+01  
 8.745476E+01   8.780600E+01  
 8.780912E+01   8.822196E+01  
 8.821634E+01   8.869384E+01  
 8.867682E+01   8.922031E+01  
 8.918943E+01   8.979836E+01  
 8.975148E+01   9.042334E+01  
 9.035888E+01   9.108965E+01  
 9.100630E+01   9.179025E+01  
 9.168737E+01   9.251736E+01  
 9.239354E+01   9.326050E+01  
 9.311775E+01   9.401310E+01  
 9.385242E+01   9.476696E+01  
 9.459014E+01   9.551451E+01  
 9.532376E+01   9.624889E+01  
 9.604673E+01   9.696428E+01  
 9.675322E+01   9.765547E+01  
 9.743818E+01   9.831814E+01  
 9.809735E+01   9.894910E+01  
 9.872732E+01   9.954578E+01  
 9.932549E+01   1.001067E+02  
 9.989009E+01   1.006311E+02  
 1.004200E+02   1.011186E+02  
 1.009147E+02   1.015697E+02  
 1.013744E+02   1.019852E+02  
 1.017961E+02   1.023630E+02  
 1.021846E+02   1.027085E+02  
 1.025411E+02   1.030234E+02  
 1.028672E+02   1.033092E+02  
 1.031644E+02   1.035680E+02  
 1.034346E+02   1.038018E+02  
 1.036795E+02   1.040125E+02  
