65.  72.711
66.  70.688
67.  68.696
68.  66.828
69.  65.033
70.  63.314
71.  61.654
72.  60.051
73.  58.51
74.  57.005
75.  55.571
76.  54.188
77.  52.856
78.  51.566
79.  50.324
80.  45.37
81.  44.31
82.  43.28
83.  42.29
84.  41.33
85.  40.41
86.  39.52
87.  38.66
88.  37.83
89.  37.02
90.  36.23
91.  35.49
92.  34.75
93.  34.04
94.  33.36
95.  32.69
96.  32.04
97.  31.41
98.  30.80
99.  30.21
100. 29.68
101. 29.12
102. 28.57
103. 28.04
104. 27.52
105. 27.01
106. 26.52
107. 26.05
108. 25.59
109. 25.14
110. 24.70
110. 24.48
111. 24.27
111. 24.06
112. 23.85
112. 23.64
113. 23.44
113. 23.24
114. 23.05
114. 22.85
115. 22.66
115. 22.47
116. 22.28
116. 22.10
117. 21.91
117. 21.73
118. 21.55
118. 21.38
119. 21.20
119. 21.03
120. 20.86
120. 20.69
121. 20.53
121. 20.36
122. 20.20
