txName: T2tt
conditionDescription: None
condition: None
constraint: [[['t']],[['t']]]
checked: AL
figureUrl: https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/CONFNOTES/ATLAS-CONF-2013-024/figaux_03.png
validated: True
axes: 2*Eq(mother,x)_Eq(lsp,y)
publishedData: False
upperLimits: [[[[200.0*GeV, 1.0*GeV], [200.0*GeV, 1.0*GeV]], 2700.0*pb],
[[[225.0*GeV, 1.0*GeV], [225.0*GeV, 1.0*GeV]], 480.0*pb],
[[[225.0*GeV, 25.0*GeV], [225.0*GeV, 25.0*GeV]], 280.0*pb],
[[[250.0*GeV, 1.0*GeV], [250.0*GeV, 1.0*GeV]], 25.0*pb],
[[[250.0*GeV, 25.0*GeV], [250.0*GeV, 25.0*GeV]], 130.0*pb],
[[[250.0*GeV, 50.0*GeV], [250.0*GeV, 50.0*GeV]], 300.0*pb],
[[[250.0*GeV, 70.0*GeV], [250.0*GeV, 70.0*GeV]], 1000.0*pb],
[[[275.0*GeV, 1.0*GeV], [275.0*GeV, 1.0*GeV]], 6.4*pb],
[[[275.0*GeV, 25.0*GeV], [275.0*GeV, 25.0*GeV]], 13.0*pb],
[[[275.0*GeV, 50.0*GeV], [275.0*GeV, 50.0*GeV]], 9.6*pb],
[[[275.0*GeV, 75.0*GeV], [275.0*GeV, 75.0*GeV]], 19.0*pb],
[[[300.0*GeV, 100.0*GeV], [300.0*GeV, 100.0*GeV]], 60.0*pb],
[[[300.0*GeV, 1.0*GeV], [300.0*GeV, 1.0*GeV]], 2.5*pb],
[[[300.0*GeV, 120.0*GeV], [300.0*GeV, 120.0*GeV]], 180.0*pb],
[[[300.0*GeV, 50.0*GeV], [300.0*GeV, 50.0*GeV]], 4.5*pb],
[[[350.0*GeV, 100.0*GeV], [350.0*GeV, 100.0*GeV]], 0.95*pb],
[[[350.0*GeV, 1.0*GeV], [350.0*GeV, 1.0*GeV]], 0.29*pb],
[[[350.0*GeV, 150.0*GeV], [350.0*GeV, 150.0*GeV]], 11.0*pb],
