# NMSSMTools OUTPUT IN SLHA FORMAT
# Info about spectrum calculator
BLOCK SPINFO   # Program information
     1   NMSSMTools # Spectrum calculator
     2   5.1.1      # Version number
     3   # Muon magn. mom. more than 2 sigma away
     3   # b -> c tau nu more than 2 sigma away (as SM)
# Input parameters
BLOCK MODSEL
  1  0   # IMOD
  3  1   # NMSSM particle content
  5  2   # 0: without CP-Violation, 2: with CP-Violation
 10  0   # ISCAN
 14  0   # H-> VV,VV*,(V*V*)
 16  0   # Extra BLOCK's yes/no
BLOCK SMINPUTS
     1     1.27920000E+02   # ALPHA_EM^-1(MZ)
     2     1.16639000E-05   # GF
     3     1.17200000E-01   # ALPHA_S(MZ)
     4     9.11870000E+01   # MZ
     5     4.21400000E+00   # MB(MB)
     6     1.73100000E+02   # MTOP (POLE MASS)
     7     1.77700000E+00   # MTAU
# SMINPUTS Beyond SLHA:
# MW:     0.80420000E+02
# MS:     0.19000000E+00
# MC:     0.14000000E+01
# VUS:     0.22000000E+00
# VCB:     0.40000000E-01
# VUB:     0.40000000E-02
BLOCK MINPAR
     3     3.10000000E+00   # TANBETA(MZ)
BLOCK EXTPAR
     1     1.30000000E+02   # RE(M1)
     2     2.60000000E+02   # RE(M2)
     3     1.00000000E+03   # RE(M3)
    11     1.50000000E+03   # RE(ATOP)
    12     1.50000000E+03   # RE(ABOTTOM)
    13     1.50000000E+03   # RE(ATAU)
    16     1.50000000E+03   # RE(AMUON)
    31     5.00000000E+02   # LEFT SELECTRON
    32     5.00000000E+02   # LEFT SMUON
    33     5.00000000E+02   # LEFT STAU
    34     5.00000000E+02   # RIGHT SELECTRON
    35     5.00000000E+02   # RIGHT SMUON
    36     5.00000000E+02   # RIGHT STAU
    41     1.50000000E+03   # LEFT 1ST GEN. SQUARKS
    42     1.50000000E+03   # LEFT 2ND GEN. SQUARKS
    43     1.50000000E+03   # LEFT 3RD GEN. SQUARKS
    44     1.50000000E+03   # RIGHT U-SQUARKS
    45     1.50000000E+03   # RIGHT C-SQUARKS
    46     1.50000000E+03   # RIGHT T-SQUARKS
    47     1.50000000E+03   # RIGHT D-SQUARKS
    48     1.50000000E+03   # RIGHT S-SQUARKS
    49     1.50000000E+03   # RIGHT B-SQUARKS
    61     6.30000000E-01   # RE(LAMBDA)
    62     6.00000000E-02   # RE(KAPPA)
#   63     9.79888509E+02   # RE(ALAMBDA)
#   64    -1.42808796E+01   # RE(AKAPPA)
    65     2.90000000E+02   # RE(MUEFF)
   124     1.00000000E+03   # MA AT QSTSB
   125     1.20000000E+02   # MP AT QSTSB
BLOCK IMEXTPAR
     1     0.00000000E+00   # IM(M1)
     2     0.00000000E+00   # IM(M2)
     3     0.00000000E+00   # IM(M3)
    11     1.00000000E+01   # IM(ATOP)
    12     0.00000000E+00   # IM(ABOTTOM)
    13     0.00000000E+00   # IM(ATAU)
    61     0.00000000E+00   # IM(LAMBDA)
    62     1.00000000E-03   # IM(KAPPA)
#   63    -4.34437321E-01   # IM(ALAMBDA)
#   64     4.20097924E-01   # IM(AKAPPA)
#   65     0.00000000E+00   # IM(MUEFF)
BLOCK ABS.VALUES mod. SIGN(Real part)
     1     1.30000000E+02   # +/-|M1|
     2     2.60000000E+02   # +/-|M2|
     3     1.00000000E+03   # +/-|M3|
    11     1.50003333E+03   # +/-|ATOP|
    12     1.50000000E+03   # +/-|ABOTTOM|
    13     1.50000000E+03   # +/-|ATAU|
    61     6.30000000E-01   # +/-|LAMBDA|
    62     6.00083328E-02   # +/-|KAPPA|
    63     9.79888605E+02   # +/-|ALAMBDA|
    64    -1.42870572E+01   # +/-|AKAPPA|
    65     2.90000000E+02   # +/-|MUEFF|
BLOCK PHASES (-Pi/2 < PHI < Pi/2)
     1     0.00000000E+00   # PHI(M1)
     2     0.00000000E+00   # PHI(M2)
     3     0.00000000E+00   # PHI(M3)
    11     6.66656790E-03   # PHI(ATOP)
    12     0.00000000E+00   # PHI(ABOTTOM)
    13     0.00000000E+00   # PHI(ATAU)
    61     0.00000000E+00   # PHI(LAMBDA)
    62     1.66651237E-02   # PHI(KAPPA)
    63    -4.43353798E-04   # PHI(ALAMBDA)
    64    -2.94083294E-02   # PHI(AKAPPA)
    65     0.00000000E+00   # PHI(MUEFF)
# 
BLOCK MASS   # Mass spectrum 
#  PDG Code     mass             particle 
         5     4.21400000E+00   # MB(MB)
         6     1.73100000E+02   # MTOP (POLE MASS)
        15     1.77700000E+00   # MTAU
        23     9.11870000E+01   # MZ
        24     8.04200000E+01   # MW
        25     7.75231686E+01   # lightest neutral CPV_scalar
        35     1.03216381E+02   # second neutral CPV_scalar
        45     1.24418242E+02   # third neutral CPV_scalar
        36     9.74544053E+02   # fourth neutral CPV_scalar
        46     9.76070936E+02   # fifth neutral CPV_scalar
        37     9.70389059E+02   # charged Higgs
   1000001     1.53227289E+03   #  ~d_L
   2000001     1.53157479E+03   #  ~d_R
   1000002     1.53071935E+03   #  ~u_L
   2000002     1.53110383E+03   #  ~u_R
   1000003     1.53227289E+03   #  ~s_L
   2000003     1.53157479E+03   #  ~s_R
   1000004     1.53071935E+03   #  ~c_L
   2000004     1.53110383E+03   #  ~c_R
   1000006     1.52773515E+03   #  ~b_1
   2000006     1.51866217E+03   #  ~b_2
   1000006     1.45202498E+03   #  ~t_1
   2000006     1.56919835E+03   #  ~t_2
   1000011     5.01657606E+02   #  ~e_L
   2000011     5.01442337E+02   #  ~e_R
   1000012     4.96885529E+02   #  ~nue_L
   1000013     5.01657606E+02   #  ~mu_L
   2000013     5.01442337E+02   #  ~mu_R
   1000014     4.96885529E+02   #  ~numu_L
   1000015     5.00436985E+02   #  ~tau_1
   2000015     5.02666799E+02   #  ~tau_2
   1000016     4.96885529E+02   #  ~nutau_L
   1000021     1.14231261E+03   #  ~g
   1000022     6.31910636E+01   # neutralino(1)
   1000023     1.24538602E+02   # neutralino(2)
   1000025     2.27072653E+02   # neutralino(3)
   1000035     3.23396783E+02   # neutralino(4)
   1000045     3.65572645E+02   # neutralino(5)
   1000024     2.14501993E+02   # chargino(1)
   1000037     3.59189182E+02   # chargino(2)
# 
# Low energy observables
BLOCK LOWEN
# 
# EDMs:
# dEe < 1E-28 e.cm (Thorium exp.)
#   1.41360688E-29   dEe
#   1.02389897E-29   |dEemin|: |dEe| - Theor.Err.
# dETl < 1.3E-24 e.cm (Thalium exp.)
#  -9.05212089E-27   dETl
#   6.38106932E-27   |dETlmin|: |dETl| - Theor.Err.
# dEn < 3E-26 e.cm (neutron exp.)
#  -1.14345089E-27   dEnCQM
#   5.25850357E-29   |dEnCQMmin|: |dEnCQM| - Theor.Err.
#  -4.62164282E-28   dEnPQM
#   1.52710097E-28   |dEnPQMmin|: |dEnPQM| - Theor.Err.
#  -2.17716691E-27   dEnQSR
#   2.74119338E-28   |dEnQSRmin|: |dEnQSR| - Theor.Err.
# dEHg < 3.1E-29 e.cm (Mercury exp.)
#   8.72423773E-30   dEHg
#   1.72301857E-30   |dEHgmin|: |dEHg| - Theor.Err.
# 
# BSM contr. to the muon anomalous magn. moment:
     6     2.67288335E-10   # Del_a_mu
    61     5.53614213E-10   # Del_a_mu + Theor.Err.
    62    -1.90375426E-11   # Del_a_mu - Theor.Err.
# Minimal Exp.-SM (2 sigma):  8.77299681E-10
# Maximal Exp.-SM (2 sigma):  4.61143760E-09
# 
# Exp. 2 Sigma: 2.99E-4 < BR(b -> s gamma) < 3.87E-4:
     1     3.62415140E-04   # BR(b -> s gamma)
    11     4.11759059E-04   # (BR(b -> s gamma)+Theor.Err.)
    12     3.13071222E-04   # (BR(b -> s gamma)-Theor.Err.)
# Exp. 2 Sigma: 5.015E-1 < Delta M_d < 5.095E-1:
     2     5.13357041E-01   # Delta M_d in ps^-1
    21     9.95771962E-01   # Delta M_d +Theor.Err.
    22     1.44939597E-01   # Delta M_d -Theor.Err.
# Exp. 2 Sigma: 1.7715E+1 < Delta Ms < 1.7799E+1:
     3     1.81144956E+01   # Delta M_s in ps^-1
    31     2.24736803E+01   # Delta M_s +Theor.Err.
    32     1.42200988E+01   # Delta M_s -Theor.Err.
# Exp. 2 Sigma: 1.7E-9 < BR(Bs->mu+mu-) < 4.5E-9:
     4     3.39799380E-09   # BR(Bs -> mu+mu-)
    41     4.03608040E-09   # BR(Bs -> mu+mu-)+Theor.Err.
    42     2.81032256E-09   # BR(Bs -> mu+mu-)-Theor.Err.
# Exp. 2 Sigma: 0.70E-4 < BR(B+ > tau+ + nu_tau) < 1.58E-4:
     5     1.06949837E-04   # BR(B+ -> tau+ + nu_tau)
    51     1.63026322E-04   # BR(B+ -> tau+ + nu_tau) + Theor.Err.
    52     6.57787416E-05   # BR(B+ -> tau+ + nu_tau) - Theor.Err.
# Exp. 2 Sigma: 2.7E-6 < BR(b -> d gamma) < 2.55E-5:
#   1.85711830E-05   BR(b -> d gamma)
#   2.11210119E-05   BR(b -> d gamma)+Theor.Err.)
#   1.40213541E-05   BR(b -> d gamma)-Theor.Err.)
# Exp. 2 Sigma: 1.1E-10 < BR(Bd->mu+mu-) < 7.1E-10:
#   9.60890111E-11   BR(Bd -> mu+mu-)
#   1.68184139E-10   BR(Bd -> mu+mu-)+Theor.Err.
#   3.08922344E-11   BR(Bd -> mu+mu-)-Theor.Err.
# RD = BR[B+ -> D tau+ nu_tau]/BR[B+ -> D l+ nu_l]
# Exp. 2 Sigma: 2.91E-1 < RD < 4.91E-1:
#   2.96968482E-01   RD
#   3.30978484E-01   RD+Theor.Err.
#   2.62958480E-01   RD-Theor.Err.
# RD* = BR[B+ -> D* tau+ nu_tau]/BR[B+ -> D* l+ nu_l]
# Exp. 2 Sigma: 2.78E-1 < RD* < 3.66E-1:
#   2.51997737E-01   RD*
