# e+ e- -> Zh, h -> anything (decay-mode independent search)
# from OPAL, EPJC 27 (2003) 311
# mh      s95exp    s95obs
# currently not read in   .1    .0455    .0589 
# currently not read in   .5    .0502    .0579 
  1.0    .0545    .0679 
  2.0    .0548    .0677 
  3.0    .0575    .0665 
  4.0    .0590    .0654 
  5.0    .0622    .0704 
  6.0    .0643    .0737 
  7.0    .0695    .0810 
  8.0    .0738    .0850 
  9.0    .0777    .0866 
 10.0    .0843    .0914 
 11.0    .0893    .0902 
 12.0    .0975    .0925 
 13.0    .1012    .0917 
 14.0    .1044    .0899 
 15.0    .1056    .0888 
 16.0    .1074    .0923 
 17.0    .1091    .0925 
 18.0    .1114    .0933 
 19.0    .1154    .0964 
 20.0    .1250    .1058 
 21.0    .1272    .1070 
 22.0    .1296    .1084 
 23.0    .1332    .1101 
 24.0    .1384    .1115 
 25.0    .1448    .1128 
 26.0    .1447    .1137 
 27.0    .1475    .1182 
 28.0    .1510    .1251 
 29.0    .1570    .1328 
 30.0    .1668    .1887 
 31.0    .1817    .2098 
 32.0    .1973    .2319 
 33.0    .2156    .2546 
 34.0    .2385    .2731 
 35.0    .2621    .2824 
 36.0    .2684    .2914 
 37.0    .2825    .3080 
 38.0    .2947    .3278 
 39.0    .3109    .3531 
 40.0    .3256    .3906 
 41.0    .3489    .4329 
 42.0    .3770    .4640 
 43.0    .4071    .4887 
 44.0    .4394    .5063 
 45.0    .4744    .5206 
 46.0    .5157    .5387 
 47.0    .5601    .5327 
 48.0    .6102    .5390 
 49.0    .6608    .5508 
 50.0    .7167    .5806 
 51.0    .7718    .6242 
 52.0    .8261    .6532 
 53.0    .8735    .6402 
 54.0    .9088    .6071 
 55.0    .9450    .6057 
 56.0    .9321    .6537 
 57.0    .9501    .6562 
 58.0    .9399    .6295 
 59.0    .9491    .6144 
 60.0    .9516    .5994 
 61.0    .9615    .5778 
 62.0    .9683    .5559 
 63.0    .9826    .5382 
 64.0    .9917    .5260 
 65.0   1.0021    .5233 
 66.0   1.0129    .5246 
 67.0   1.0249    .5301 
 68.0   1.0386    .5409 
 69.0   1.0526    .5520 
 70.0   1.0662    .5667 
 71.0   1.0912    .5881 
 72.0   1.1138    .6102 
 73.0   1.1426    .6312 
 74.0   1.1727    .6551 
 75.0   1.2096    .6831 
 76.0   1.2511    .7095 
 77.0   1.2983    .7516 
 78.0   1.3526    .7965 
 79.0   1.4085    .8340 
 80.0   1.4787    .9059 
 81.0   1.5470    .9769 
 82.0   1.6301   1.1223 
 83.0   1.7164   1.2455 
 84.0   1.8182   1.4363 
 85.0   1.9269   1.6275 
 86.0   2.0479   1.8928 
 87.0   2.1755   2.0683 
 88.0   2.3210   2.3344 
 89.0   2.4438   2.6693 
 90.0   2.6070   3.0082 
 91.0   2.7963   3.3058 
 92.0   2.9591   3.1114 
 93.0   3.1345   3.1407 
 94.0   3.3353   2.9586 
 95.0   3.5161   3.0808 
 96.0   3.6932   3.2639 
 97.0   3.8906   3.6518 
 98.0   4.0951   3.5763 
 99.0   4.2865   3.4224 
100.0   4.4259   3.5366 
