txName: TChiWZoff
conditionDescription: None
condition: cGtr([[['mu+','mu-']],[['l','nu']]],[[['e+','e-']],[['l','nu']]])
constraint: 71.*([[['mu+','mu-']],[['l','nu']]] + [[['e+','e-']],[['l','nu']]])
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13006/Fig16_exclusion_TChiWZ.png
dataUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13006/exclusion_TChiWZ.root;https://twiki.cern.ch/twiki/bin/view/CMSPublic/PhysicsResultsSUS13006
validated: True
axes: 2*Eq(mother,x)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[100.0*GeV, 20.0*GeV], [100.0*GeV, 20.0*GeV]], 1.255*pb],
[[[100.0*GeV, 30.0*GeV], [100.0*GeV, 30.0*GeV]], 1.3585*pb],
[[[100.0*GeV, 40.0*GeV], [100.0*GeV, 40.0*GeV]], 1.953*pb],
[[[100.0*GeV, 50.0*GeV], [100.0*GeV, 50.0*GeV]], 2.862*pb],
[[[100.0*GeV, 60.0*GeV], [100.0*GeV, 60.0*GeV]], 4.6356*pb],
[[[100.0*GeV, 70.0*GeV], [100.0*GeV, 70.0*GeV]], 7.278*pb],
[[[100.0*GeV, 80.0*GeV], [100.0*GeV, 80.0*GeV]], 19.191*pb],
[[[110.0*GeV, 30.0*GeV], [110.0*GeV, 30.0*GeV]], 1.1354*pb],
[[[110.0*GeV, 40.0*GeV], [110.0*GeV, 40.0*GeV]], 1.3955*pb],
[[[110.0*GeV, 50.0*GeV], [110.0*GeV, 50.0*GeV]], 1.7271*pb],
[[[110.0*GeV, 60.0*GeV], [110.0*GeV, 60.0*GeV]], 2.4464*pb],
[[[110.0*GeV, 70.0*GeV], [110.0*GeV, 70.0*GeV]], 4.0925*pb],
[[[110.0*GeV, 80.0*GeV], [110.0*GeV, 80.0*GeV]], 6.0639*pb],
[[[110.0*GeV, 90.0*GeV], [110.0*GeV, 90.0*GeV]], 16.722*pb],
[[[120.0*GeV, 40.0*GeV], [120.0*GeV, 40.0*GeV]], 0.96762*pb],
[[[120.0*GeV, 50.0*GeV], [120.0*GeV, 50.0*GeV]], 1.0826*pb],
[[[120.0*GeV, 60.0*GeV], [120.0*GeV, 60.0*GeV]], 1.6438*pb],
[[[120.0*GeV, 70.0*GeV], [120.0*GeV, 70.0*GeV]], 2.0515*pb],
[[[120.0*GeV, 80.0*GeV], [120.0*GeV, 80.0*GeV]], 3.6632*pb],
[[[120.0*GeV, 90.0*GeV], [120.0*GeV, 90.0*GeV]], 5.0703*pb],
[[[120.0*GeV, 100.0*GeV], [120.0*GeV, 100.0*GeV]], 12.909*pb],
[[[130.0*GeV, 50.0*GeV], [130.0*GeV, 50.0*GeV]], 1.0126*pb],
[[[130.0*GeV, 60.0*GeV], [130.0*GeV, 60.0*GeV]], 1.0717*pb],
[[[130.0*GeV, 70.0*GeV], [130.0*GeV, 70.0*GeV]], 1.3321*pb],
[[[130.0*GeV, 80.0*GeV], [130.0*GeV, 80.0*GeV]], 2.0532*pb],
[[[130.0*GeV, 90.0*GeV], [130.0*GeV, 90.0*GeV]], 3.4048*pb],
[[[130.0*GeV, 100.0*GeV], [130.0*GeV, 100.0*GeV]], 6.651*pb],
[[[130.0*GeV, 110.0*GeV], [130.0*GeV, 110.0*GeV]], 18.795*pb],
