#title Effective Area[m^2]
#yName icDCnu{c} icDCnuBar{c} ic22nu{c} ic22nuBar{c} 
#xName Enu
#xMin 1.000000E+01
#xMax 1.000000E+03
#xDim  150 150 150 150
#xScale 1
#---   starting of data ---
#  icDCnu        icDCnuBar     ic22nu        ic22nuBar   
 0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  
 0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  
 0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  
 0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  
 9.516431E-07   0.000000E+00   0.000000E+00   0.000000E+00  
 1.046945E-06   0.000000E+00   0.000000E+00   0.000000E+00  
 1.168504E-06   5.732082E-07   0.000000E+00   0.000000E+00  
 1.314698E-06   6.369726E-07   0.000000E+00   0.000000E+00  
 1.472146E-06   7.227575E-07   0.000000E+00   0.000000E+00  
 1.649973E-06   8.098928E-07   0.000000E+00   0.000000E+00  
 1.853724E-06   8.908709E-07   0.000000E+00   0.000000E+00  
 2.041023E-06   9.888809E-07   0.000000E+00   0.000000E+00  
 2.231561E-06   1.104085E-06   0.000000E+00   0.000000E+00  
 2.535580E-06   1.230868E-06   0.000000E+00   0.000000E+00  
 2.877866E-06   1.374253E-06   0.000000E+00   0.000000E+00  
 3.157946E-06   1.539398E-06   0.000000E+00   0.000000E+00  
 3.447991E-06   1.709467E-06   0.000000E+00   0.000000E+00  
 3.763477E-06   1.884624E-06   0.000000E+00   0.000000E+00  
 4.167240E-06   2.075665E-06   0.000000E+00   0.000000E+00  
 4.645367E-06   2.281284E-06   0.000000E+00   0.000000E+00  
 5.021490E-06   2.485511E-06   0.000000E+00   0.000000E+00  
 5.375878E-06   2.716249E-06   0.000000E+00   0.000000E+00  
 5.878363E-06   3.048548E-06   0.000000E+00   0.000000E+00  
 6.481431E-06   3.363743E-06   0.000000E+00   0.000000E+00  
 7.154376E-06   3.602774E-06   0.000000E+00   0.000000E+00  
 7.849075E-06   3.885455E-06   0.000000E+00   0.000000E+00  
 8.482170E-06   4.245662E-06   0.000000E+00   0.000000E+00  
 9.204974E-06   4.634406E-06   0.000000E+00   0.000000E+00  
 1.015521E-05   5.041873E-06   0.000000E+00   0.000000E+00  
