# NMSSMTools OUTPUT IN SLHA FORMAT
# Info about spectrum calculator
BLOCK SPINFO   # Program information
     1   NMSSMTools # Spectrum calculator
     2   4.7.0      # Version number
     3   # Muon magn. mom. more than 2 sigma away
# Input parameters
BLOCK MODSEL
  3  1   # NMSSM particle content
  1  2   # IMOD
 10  0   # ISCAN
  8  0   # Precision for Higgs masses
 12  1   # GMSB scenario at MMESS
 14  1   # H-> VV,VV*,(V*V*)
 16  0   # Extra BLOCK's yes/no
BLOCK SMINPUTS
     1     1.27920000E+02   # ALPHA_EM^-1(MZ)
     2     1.16639000E-05   # GF
     3     1.17200000E-01   # ALPHA_S(MZ)
     4     9.11870000E+01   # MZ
     5     4.21400000E+00   # MB(MB)
     6     1.73100000E+02   # MTOP (POLE MASS)
     7     1.77700000E+00   # MTAU
# SMINPUTS Beyond SLHA:
# MW:     0.80420000E+02
# MS:     0.19000000E+00
# MC:     0.14000000E+01
# VUS:     0.22000000E+00
# VCB:     0.40000000E-01
# VUB:     0.40000000E-02
BLOCK MINPAR
     1     2.08000000E+05   # MSUSYEFF
     2     6.15798000E+13   # MMESS
     3     1.38000000E+00   # TANBETA(MZ)
     4     1.00000000E+00   # SIGMU
     5     2.00000000E+00   # N5
BLOCK EXTPAR
    61     5.26675000E-01   # LAMBDA AT THE SUSY SCALE
#   62     4.32673461E-01   # KAPPA AT THE SUSY SCALE
#   63    -2.62949109E+03   # ALAMBDA AT THE MES SCALE
#   65     3.41723552E+03   # MUEFF AT THE SUSY SCALE
#   70    -1.27743656E+07   # MS^2 AT THE MES SCALE
#   71    -1.26951697E+07   # MS^2_REF
#   72    -3.10943635E-03   # DELTA
    73     9.05187000E-01   # XiU AT THE GUT SCALE
    76     0.00000000E+00   # LU AT THE MES SCALE
    77     0.00000000E+00   # LD AT THE MES SCALE
    78     0.00000000E+00   # LT AT THE MES SCALE
    79     0.00000000E+00   # LB AT THE MES SCALE
    80     0.00000000E+00   # LL AT THE MES SCALE
# 
BLOCK MASS   # Mass spectrum 
#  PDG Code     mass             particle 
         5     4.21400000E+00   # MB(MB)
         6     1.73100000E+02   # MTOP (POLE MASS)
        15     1.77700000E+00   # MTAU
        23     9.11870000E+01   # MZ
        24     8.04200000E+01   # MW
        25     1.22240732E+02   # lightest neutral scalar
        35     4.09900301E+03   # second neutral scalar
        45     4.71503590E+03   # third neutral scalar
        36     4.09589327E+03   # lightest pseudoscalar
        46     5.06832439E+03   # second pseudoscalar
        37     4.09953540E+03   # charged Higgs
   1000001     3.05487516E+03   #  ~d_L
   2000001     2.80126799E+03   #  ~d_R
   1000002     3.05457725E+03   #  ~u_L
   2000002     2.84818970E+03   #  ~u_R
   1000003     3.05487516E+03   #  ~s_L
   2000003     2.80126799E+03   #  ~s_R
   1000004     3.05457725E+03   #  ~c_L
   2000004     2.84818970E+03   #  ~c_R
   1000005     2.75193266E+03   #  ~b_1
   2000005     2.77748985E+03   #  ~b_2
   1000006     2.15975677E+03   #  ~t_1
   2000006     2.77235578E+03   #  ~t_2
   1000011     1.35368338E+03   #  ~e_L
   2000011     8.82193934E+02   #  ~e_R
   1000012     1.35300477E+03   #  ~nue_L
   1000013     1.35368338E+03   #  ~mu_L
   2000013     8.82193934E+02   #  ~mu_R
   1000014     1.35300477E+03   #  ~numu_L
   1000015     8.82067303E+02   #  ~tau_1
   2000015     1.35368524E+03   #  ~tau_2
   1000016     1.35297752E+03   #  ~nutau_L
   1000021     2.83727758E+03   #  ~g
   1000022     5.69702359E+02   # neutralino(1)
   1000023     1.08345478E+03   # neutralino(2)
   1000025    -3.37613187E+03   # neutralino(3)
   1000035     3.37846178E+03   # neutralino(4)
   1000045     5.54653922E+03   # neutralino(5)
   1000024     1.08345083E+03   # chargino(1)
   1000037     3.37795310E+03   # chargino(2)
   1000039     3.08126989E+00   # gravitino
# 
# Low energy observables
BLOCK LOWEN
# Exp. 2 Sigma: 2.99E-4 < BR(b -> s gamma) < 3.87E-4:
     1     3.19406716E-04   # BR(b -> s gamma)
    11     3.43070233E-04   # (BR(b -> s gamma)+Theor.Err.)
    12     2.75743919E-04   # (BR(b -> s gamma)-Theor.Err.)
# Exp. 2 Sigma: 5.04E-1 < Delta M_d < 5.16E-1:
     2     5.29187814E-01   # Delta M_d in ps^-1
    21     9.05379280E-01   # Delta M_d +Theor.Err.
    22     1.54289853E-01   # Delta M_d -Theor.Err.
# Exp. 2 Sigma: 1.7717E+1 < Delta Ms < 1.7805E+1:
     3     1.87904407E+01   # Delta M_s in ps^-1
    31     2.40751805E+01   # Delta M_s +Theor.Err.
    32     1.35238046E+01   # Delta M_s -Theor.Err.
# Exp. 2 Sigma: 1.2E-9 < BR(Bs->mu+mu-) < 5.2E-9:
     4     3.06925120E-09   # BR(Bs -> mu+mu-)
    41     4.49273337E-09   # BR(Bs -> mu+mu-)+Theor.Err.
    42     1.87778756E-09   # BR(Bs -> mu+mu-)-Theor.Err.
# Exp. 2 Sigma: 0.70E-4 < BR(B+ > tau+ + nu_tau) < 1.58E-4:
     5     1.07000416E-04   # BR(B+ -> tau+ + nu_tau)
    51     1.82562093E-04   # BR(B+ -> tau+ + nu_tau) + Theor.Err.
    52     5.55039339E-05   # BR(B+ -> tau+ + nu_tau) - Theor.Err.
# 
# BSM contr. to the muon anomalous magn. moment:
     6     1.28500605E-11   # Del_a_mu
    61     2.94454234E-10   # Del_a_mu + Theor.Err.
    62    -2.68754114E-10   # Del_a_mu - Theor.Err.
# Minimal Exp.-SM (2 sigma):  8.77306222E-10
# Maximal Exp.-SM (2 sigma):  4.61144414E-09
# 
BLOCK HMIX Q=  2.38762387E+03 # (STOP/SBOTTOM MASSES)
     1     3.40810440E+03   # MUEFF
     2     1.37626343E+00   # TAN(BETA)
     3     2.41710547E+02   # V(Q)
     4     1.71099255E+07   # MA^2
     5     2.56559760E+07   # MP^2
# 
# 3*3 Higgs mixing
BLOCK NMHMIX
  1  1     5.86981040E-01   # S_(1,1)
  1  2     8.09571019E-01   # S_(1,2)
  1  3    -6.93000689E-03   # S_(1,3)
  2  1     8.09461608E-01   # S_(2,1)
  2  2    -5.86700058E-01   # S_(2,2)
  2  3     2.35573268E-02   # S_(2,3)
  3  1    -1.50054936E-02   # S_(3,1)
  3  2     1.94372787E-02   # S_(3,2)
  3  3     9.99698468E-01   # S_(3,3)
# 
# 3*3 Pseudoscalar Higgs mixing
BLOCK NMAMIX
  1  1     8.08479852E-01   # P_(1,1)
  1  2     5.85854965E-01   # P_(1,2)
  1  3     5.59847164E-02   # P_(1,3)
  2  1    -4.53336153E-02   # P_(2,1)
  2  2    -3.28504459E-02   # P_(2,2)
  2  3     9.98431626E-01   # P_(2,3)
# 
# 3rd generation sfermion mixing
BLOCK STOPMIX  # Stop mixing matrix
  1  1     1.81787478E-01   # Rst_(1,1)
  1  2     9.83337843E-01   # Rst_(1,2)
  2  1    -9.83337843E-01   # Rst_(2,1)
  2  2     1.81787478E-01   # Rst_(2,2)
BLOCK SBOTMIX  # Sbottom mixing matrix
  1  1     9.12586879E-01   # Rsb_(1,1)
  1  2     4.08882853E-01   # Rsb_(1,2)
  2  1    -4.08882853E-01   # Rsb_(2,1)
  2  2     9.12586879E-01   # Rsb_(2,2)
BLOCK STAUMIX  # Stau mixing matrix
  1  1     8.46940220E-03   # Rsl_(1,1)
  1  2     9.99964134E-01   # Rsl_(1,2)
  2  1    -9.99964134E-01   # Rsl_(2,1)
  2  2     8.46940220E-03   # Rsl_(2,2)
# 
# Gaugino-Higgsino mixing
BLOCK NMNMIX  # 5*5 Neutralino Mixing Matrix
  1  1     9.99880450E-01   # N_(1,1)
  1  2    -2.29394670E-03   # N_(1,2)
  1  3     1.19622158E-02   # N_(1,3)
  1  4    -9.52491306E-03   # N_(1,4)
  1  5     7.55081626E-05   # N_(1,5)
  2  1     2.82319787E-03   # N_(2,1)
  2  2     9.99393893E-01   # N_(2,2)
  2  3    -2.64563495E-02   # N_(2,3)
  2  4     2.24479397E-02   # N_(2,4)
  2  5    -1.69560786E-04   # N_(2,5)
  3  1    -1.71744612E-03   # N_(3,1)
  3  2     2.84172632E-03   # N_(3,2)
  3  3     7.07050563E-01   # N_(3,3)
  3  4     7.07082372E-01   # N_(3,4)
  3  5     1.01486967E-02   # N_(3,5)
  4  1     1.51051167E-02   # N_(4,1)
  4  2    -3.46193871E-02   # N_(4,2)
