        1     0.138042600E-01     0.516707444E-02     0.757209719E-02     0.199077261E-02     0.989639512E-01     0.258887221E-07     0.391443611E-03     0.952887354E-01     0.194285494E-05     0.101929340E-05     0.231523592E-01     0.469803229E-04
        2     0.848047178E-01     0.249269231E-04     0.927793753E-02     0.952139779E-01     0.297261449E-03     0.284860378E-02     0.441189570E-03     0.347920531E-01     0.187509367E-03     0.661834151E-01     0.621575985E-02     0.725270537E-04
        3     0.705951806E-01     0.523948095E-02     0.268070364E-03     0.503737564E-07     0.167905923E-02     0.867244638E-02     0.309232332E-02     0.960686427E-04     0.128747530E-01     0.745670707E-07     0.582862207E-01     0.577194037E-01
        4     0.952153499E-04     0.441663864E-01     0.544174907E-01     0.859138692E-01     0.867850222E-01     0.825479997E-03     0.282101489E-01     0.166655111E-02     0.809565483E-04     0.150809641E-03     0.278575252E-01     0.310546241E-03
        5     0.424310903E-04     0.532890326E-02     0.700307987E-02     0.376928924E-01     0.548007639E-02     0.824988814E-01     0.635522392E-03     0.378503806E-03     0.569217581E-01     0.650973578E-04     0.208308891E-01     0.338143912E-04
        6     0.849735588E-03     0.177123549E-03     0.448357527E-03     0.841117029E-04     0.952145982E-02     0.667604658E-07     0.838324471E-01     0.230744791E-01     0.687257738E-06     0.269159267E-02     0.509793845E-01     0.117582351E-01
        7     0.988496413E-03     0.120433375E-02     0.214070352E-10     0.996553355E-01     0.335564401E-01     0.875274073E-02     0.270711489E-01     0.521359259E-01     0.173398736E-02     0.299348610E-01     0.553150355E-05     0.127778071E-01
        8     0.528933479E-01     0.908109385E-01     0.921910055E-07     0.860858120E-04     0.702246598E-01     0.129438273E-04     0.476085091E-02     0.705723454E-04     0.445196688E-04     0.255216109E-01     0.286050105E-05     0.141403253E-02
        9     0.560556981E-02     0.769021179E-03     0.456493853E-04     0.475951925E-03     0.113492957E-01     0.781285553E-01     0.273484321E-01     0.142996954E-01     0.192305779E-01     0.306718037E-02     0.175857011E-02     0.165884232E-05
       10     0.623732687E-01     0.599585767E-03     0.103880937E-01     0.243537280E-02     0.619186230E-01     0.131521277E-06     0.460444214E-01     0.431077652E-04     0.154801288E-04     0.647856700E-01     0.595858611E-03     0.214691060E-02
