123.0   0.7434    0.4366    1.608
123.1   0.7414    0.4356    1.606
123.2   0.7393    0.4346    1.605
123.3   0.7374    0.4335    1.603
123.4   0.7352    0.4325    1.603
123.5   0.7334    0.4311    1.598
123.6   0.7317    0.4301    1.603
123.7   0.7294    0.4292    1.600
123.8   0.7277    0.4280    1.598
123.9   0.7259    0.4271    1.596
124.0   0.7239    0.4260    1.595
124.1   0.7218    0.4249    1.591
124.2   0.7201    0.4238    1.591
124.3   0.7181    0.4228    1.590
124.4   0.7159    0.4217    1.589
124.5   0.7143    0.4206    1.587
124.6   0.7125    0.4194    1.586
124.7   0.7105    0.4185    1.590
124.8   0.7086    0.4174    1.584
124.9   0.7065    0.4164    1.582
125.0   0.7046    0.4153    1.578
125.1   0.7027    0.4142    1.579
125.2   0.7005    0.4133    1.576
125.3   0.6988    0.4123    1.576
125.4   0.6970    0.4112    1.573
125.5   0.6951    0.4102    1.573
125.6   0.6931    0.4091    1.572
125.7   0.6913    0.4082    1.570
125.8   0.6895    0.4070    1.568
125.9   0.6878    0.4061    1.568
126.0   0.6860    0.4050    1.568
126.1   0.6838    0.4042    1.565
126.2   0.6818    0.4030    1.565
126.3   0.6802    0.4020    1.564
126.4   0.6784    0.4010    1.561
126.5   0.6767    0.4000    1.558
126.6   0.6747    0.3990    1.560
126.7   0.6731    0.3980    1.557
126.8   0.6711    0.3970    1.555
126.9   0.6693    0.3962    1.554
127.0   0.6676    0.3953    1.552
127.1   0.6658    0.3943    1.548
127.2   0.6640    0.3932    1.548
127.3   0.6623    0.3921    1.549
127.4   0.6605    0.3912    1.547
127.5   0.6588    0.3901    1.543
127.6   0.6572    0.3892    1.545
127.7   0.6553    0.3883    1.544
127.8   0.6535    0.3874    1.541
127.9   0.6518    0.3863    1.541
128.0   0.6501    0.3856    1.540
